id,RT1_J,T1_Ja,baseline,RT1_I,T2_K,T2_J,T2_I,T2_Ja,U2_I,mean_confidence_interval_inf,T1_I,T1_J,technique,VEC2,VEC1,U2_J,SCREP,T1_Ia,OMP1,U1_J,U1_I,T2_Ka,RT2_I,runs,T2_Ia,RT2_J,RT2_K,cost_mean,U2_K,OMP2,cost_std,correct_result,mean_confidence_interval_sup
1,1,2048,False,8,128,32,32,1,23,0.4279305057581853,8,2048,DLMT,True,True,4,True,32,True,11,1,1,2,10,512,1,2,0.4309858999999999,1,False,0.004929684948351161,True,0.43404129424181453
2,32,64,False,1,32,1,256,64,1,inf,2048,1,DLMT,True,True,12,True,1,True,10,1,256,16,1,1024,8,8,inf,7,True,inf,False,inf
3,16,1024,False,1,1,1024,256,2048,6,0.6347266978736941,2,1024,DLMT,True,True,1,True,16,True,21,1,1,8,10,1,32,1,0.6393387,20,False,0.007441173107111518,True,0.643950702126306
4,8,2048,False,4,1,2,128,2048,1,1.1262535593438314,32,256,DLMT,True,False,9,False,256,False,1,10,512,8,10,512,1,4,1.126311,9,False,9.267685795277915e-05,True,1.1263684406561687
5,32,128,False,1,128,2,256,8,30,0.9145867488552321,2,64,DLMT,False,False,3,False,16,False,11,1,2048,2,10,256,2,8,0.9211472,1,True,0.01058487209936897,True,0.927707651144768
6,32,1024,False,16,1,32,4,1024,2,2.9013575121774844,128,32,DLMT,False,True,1,False,1,False,2,1,4,8,10,2048,2,4,2.9025980000000002,7,False,0.0020014484754797414,True,2.903838487822516
7,1,2048,False,16,2048,256,32,1,2,0.49339565034064026,2,2048,DLMT,False,True,8,True,1,True,11,1,1,2,10,32,8,16,0.4971782,1,False,0.006102904125086673,True,0.5009607496593598
8,32,8,False,4,1,16,8,16,3,1.241615172812922,256,1,DLMT,True,False,20,True,512,False,5,1,64,32,10,128,32,32,1.241976,1,False,0.0005821717959502945,True,1.2423368271870778
9,2,512,False,32,2,4,1,512,8,1.7304308863145001,1,4,DLMT,True,False,7,True,1024,True,1,1,4,1,10,2,32,8,1.7326570000000001,1,False,0.0035916933332343537,True,1.7348831136855
10,1,256,False,8,8,256,1,2048,1,0.9245382463424766,1,64,DLMT,True,False,6,True,8,True,7,1,256,1,10,512,1,16,0.9335288,15,False,0.014505688475904902,True,0.9425193536575235
11,2,2048,False,16,32,1,2,2,29,1.006985755433412,2,8,DLMT,True,True,1,False,2048,True,1,9,1,1,10,16,16,8,1.0269606000000002,3,True,0.03222814563762552,True,1.0469354445665884
12,8,128,False,4,256,8,2048,1,1,1.0503410665017738,256,128,DLMT,False,False,5,False,512,False,18,1,1,4,10,2048,32,16,1.0503930000000001,7,False,8.379140767405834e-05,True,1.0504449334982264
13,1,256,False,16,1,2,64,1,5,1.1883234894285137,1,256,DLMT,False,True,13,True,1,False,1,16,512,4,10,1,1,32,1.1883519999999999,1,False,4.600000000001366e-05,True,1.188380510571486
14,2,1,False,32,1,8,32,32,1,0.19086542672749127,1,4,DLMT,False,True,2,True,8,True,11,1,256,8,10,128,1,1,0.2036037,1,True,0.020552396532034892,True,0.21634197327250873
15,1,2048,False,1,512,2,4,16,4,1.2631359372172863,1,1024,DLMT,False,True,1,False,128,False,13,1,2048,32,10,2048,1,32,1.263188,28,False,8.400000000000047e-05,True,1.2632400627827136
16,32,32,False,2,16,64,2,128,3,0.6320262010258892,2048,32,DLMT,False,False,1,True,1,False,1,10,256,8,10,64,2,8,0.6444636,11,True,0.020066954921960627,True,0.6569009989741108
17,2,1024,False,16,1,32,2048,32,1,inf,64,32,DLMT,False,True,18,False,1,False,25,1,1,32,1,1,2,8,inf,1,True,inf,False,inf
18,4,1,False,8,4,512,64,1,3,inf,1,64,DLMT,True,False,17,False,1,True,1,26,512,32,1,64,32,2,inf,1,True,inf,False,inf
19,2,2048,False,8,1,2,1,128,1,inf,4,2048,DLMT,True,True,30,True,1024,False,1,26,256,32,1,32,2,8,inf,2,False,inf,False,inf
20,2,64,False,16,64,8,1,16,3,0.8353039135073322,8,64,DLMT,True,False,1,False,16,True,1,13,1,4,10,128,32,2,0.8415126,18,False,0.010017322129192019,True,0.8477212864926679
21,2,1024,False,8,2,2048,2,1,1,0.17793769685224442,128,4,DLMT,True,False,12,True,128,True,20,1,1,4,10,8,16,32,0.1888692,8,True,0.01763728745470799,True,0.19980070314775555
22,32,1,False,4,2048,2048,64,1,9,1.189365410827253,4,64,DLMT,True,True,11,False,256,False,1,11,1,2,10,1,4,32,1.189494,1,False,0.00020747047982783924,True,1.1896225891727472
23,1,256,False,4,1,2048,4,1,2,1.226122423667469,2048,2,DLMT,True,True,29,False,2048,False,1,2,256,32,10,2048,2,8,1.22786,1,True,0.002803469279303801,True,1.2295975763325309
24,16,256,False,2,8,2,2,16,18,1.192143049182656,4,128,DLMT,False,True,6,False,128,True,1,18,128,2,10,4,4,8,1.194556,1,False,0.003893143203120049,True,1.196968950817344
25,16,1024,False,16,2048,128,2,2048,3,0.4759267222581647,1,8,DLMT,True,True,11,True,128,True,1,25,1,2,10,512,32,2,0.4875151,1,True,0.018697112977409093,True,0.4991034777418353
26,2,64,False,2,4,4,512,4,11,1.902494657757943,512,16,DLMT,False,False,1,False,2048,True,1,30,512,16,10,512,1,1,1.9061159999999997,4,False,0.005842806175118222,True,1.9097373422420565
27,16,1,False,1,32,16,4,1024,1,0.5348526060883436,8,1024,DLMT,True,False,2,False,8,False,1,6,1024,4,10,64,16,8,0.5411750000000001,28,True,0.010200781842584434,True,0.5474973939116565
28,1,2048,False,2,1,1,128,2048,1,1.2809975669072748,128,512,DLMT,True,True,24,True,2048,True,1,30,8,4,10,256,32,16,1.283176,4,False,0.0035147637189432536,True,1.2853544330927253
29,1,512,False,16,128,128,2,256,30,0.46372064654039047,32,2,DLMT,True,False,1,True,1,True,1,14,512,32,10,1,8,2,0.4732626,3,False,0.015395337107059402,True,0.4828045534596095
30,2,64,False,16,512,512,16,2048,24,0.47445903003413803,1024,2,DLMT,False,False,5,True,1024,True,1,4,512,2,10,32,1,32,0.4795952999999999,1,True,0.008287046036435411,True,0.48473156996586175
31,2,256,False,16,128,512,32,2048,1,inf,1,4,DLMT,False,True,23,False,2,False,1,18,1024,1,1,1024,8,16,inf,3,False,inf,False,inf
32,8,32,False,32,1024,1,32,1024,1,inf,4,1,DLMT,False,False,3,True,512,False,5,1,2048,2,1,512,8,1,inf,30,False,inf,False,inf
33,16,32,False,16,2048,2048,1,2048,1,0.7589660411443927,2,1,DLMT,True,True,3,False,2,False,1,2,1,8,10,128,8,32,0.7604545,4,True,0.0024015340201629315,True,0.7619429588556074
34,4,16,False,2,16,32,32,2048,1,2.056322490771615,1,16,DLMT,False,True,4,True,2048,True,14,1,1,1,10,32,2,2,2.0580510000000003,29,False,0.002788840081467502,True,2.0597795092283855
35,32,2048,False,16,8,32,32,64,1,0.5501874801874685,2,256,DLMT,False,True,12,True,512,True,22,1,8,32,10,1,1,2,0.5553779,10,True,0.008374413381843528,True,0.5605683198125314
36,16,1,False,32,1,32,4,256,3,0.5445536693265921,8,512,DLMT,True,True,30,True,1,True,1,29,2,1,10,128,2,1,0.549436,1,False,0.007877331083558687,True,0.554318330673408
37,32,8,False,16,1,1,8,128,4,1.5613399384356683,8,2,DLMT,False,False,1,False,128,False,1,26,256,4,10,2048,1,8,1.561482,28,False,0.00022920732972572645,True,1.5616240615643318
38,32,1,False,1,32,2,1024,256,1,1.4090407571277355,2,2048,DLMT,True,True,1,False,512,True,1,15,1,1,10,2048,4,8,1.410929,2,True,0.003046560191429042,True,1.4128172428722647
39,4,4,False,32,2,256,64,1024,11,0.9256898489321841,32,1,DLMT,True,True,3,True,64,True,13,1,16,8,10,2048,2,4,0.9341906,1,True,0.01371542304269175,True,0.9426913510678159
40,16,512,False,32,2,4,4,32,21,1.8109988160267063,1,4,DLMT,True,True,1,False,512,False,25,1,128,4,10,128,2,16,1.8117389999999998,1,False,0.0011942399256430836,True,1.8124791839732932
41,4,256,False,8,2,1,16,256,1,1.5005563835810944,256,16,DLMT,True,True,3,False,512,False,18,1,128,1,10,1,32,4,1.5006210000000002,15,False,0.00010425449630589792,True,1.500685616418906
42,8,1,False,1,8,128,2,2048,11,0.767792403531381,8,2,DLMT,True,True,1,True,32,False,29,1,8,4,10,32,1,32,0.7875942,3,True,0.031948943499903085,True,0.807395996468619
43,1,2048,False,2,64,128,2048,1,2,1.0475468904257297,1,4,DLMT,True,True,25,True,256,False,1,19,256,1,10,2048,32,2,1.049492,1,True,0.0031383110107189834,True,1.0514371095742705
44,2,256,False,32,32,32,64,32,11,0.6359855317072651,256,64,DLMT,False,True,1,True,256,False,1,23,128,1,10,256,16,16,0.6397603,4,True,0.006090349383245602,True,0.6435350682927348
45,32,1024,False,4,256,256,1024,256,1,0.7346013300116977,512,32,DLMT,False,False,2,True,1,True,30,1,1024,8,10,1024,8,16,0.7405983999999999,30,True,0.009675892312339972,True,0.7465954699883021
46,1,4,False,2,1,256,8,512,1,0.2364142990863283,8,1,DLMT,False,False,2,False,128,True,27,1,32,1,10,8,32,1,0.24957609999999994,4,True,0.021235731536492924,True,0.26273790091367155
47,8,2048,False,32,64,16,256,1,1,0.9699555982855973,16,16,DLMT,True,False,3,False,512,True,5,1,1024,2,10,2048,8,4,0.9746938,16,True,0.007644788143565544,True,0.9794320017144028
48,4,2048,False,32,1,128,8,128,1,inf,64,8,DLMT,True,False,9,False,2048,False,1,26,1,32,1,32,8,32,inf,1,False,inf,False,inf
49,8,32,False,32,8,8,8,256,1,1.9017422867311484,512,4,DLMT,True,False,9,True,1024,False,1,23,8,4,10,512,8,1,1.9036110000000002,6,True,0.003015050414172249,True,1.905479713268852
50,16,2048,False,16,32,4,64,2048,1,0.6684676272356702,16,1,DLMT,False,False,1,False,64,False,1,19,2048,16,10,64,2,1,0.6791856999999999,14,True,0.017292931058961642,True,0.6899037727643296
51,32,512,False,1,2048,4,16,2048,12,inf,32,256,DLMT,True,True,1,False,2048,False,2,1,1,32,1,128,8,16,inf,3,False,inf,False,inf
52,16,128,False,16,256,128,64,128,12,0.2707127634629688,2,8,DLMT,True,True,1,False,32,True,12,1,1,4,10,128,8,32,0.29573489999999997,6,True,0.04037163131816697,True,0.32075703653703114
53,32,1,False,32,64,256,2,2048,7,0.5026221586144529,128,64,DLMT,False,True,8,True,256,False,1,12,2048,32,10,4,32,2,0.5067417000000001,1,True,0.00664661891565931,True,0.5108612413855472
54,2,1,False,2,8,32,1,512,5,0.4720374462671492,4,2048,DLMT,False,True,18,True,64,False,30,1,1,1,10,8,8,4,0.47814879999999993,1,True,0.009860281890493807,True,0.48426015373285064
55,32,32,False,16,2,8,32,64,1,0.6581809350158064,1,16,DLMT,True,True,6,False,4,True,30,1,256,1,10,2048,4,1,0.6788095000000001,3,False,0.033282882096507205,True,0.6994380649841937
56,4,1,False,32,1,1,16,32,11,0.409245403608891,32,1024,DLMT,True,False,1,True,2048,False,1,9,32,4,10,16,16,2,0.41339859999999995,6,True,0.006700919133969612,True,0.4175517963911089
57,4,128,False,8,128,4,8,256,4,0.7746421623150234,128,64,DLMT,True,True,8,True,2048,False,1,1,1,2,10,2048,2,1,0.7777946,1,True,0.005086258392964335,True,0.7809470376849766
58,4,32,False,2,1024,2,16,8,20,0.45900001781636457,1,32,DLMT,True,False,1,True,2,True,1,16,1,16,10,256,32,16,0.4621303,6,True,0.005050511895837888,True,0.4652605821836354
59,1,8,False,4,256,16,256,32,1,1.2149240548677984,512,1,DLMT,True,False,8,False,1,False,1,1,1,4,10,1,4,8,1.2149670000000001,9,False,6.928924880525904e-05,True,1.2150099451322018
60,1,1,False,16,1024,64,256,128,23,1.0298045352582028,2048,128,DLMT,True,True,2,True,2048,True,1,8,2048,16,10,1024,4,8,1.032045,1,False,0.0036148478529531665,True,1.0342854647417974
61,4,4,False,2,512,1024,8,1,4,0.4829678022935539,8,1,DLMT,False,True,1,True,2048,True,1,30,2048,8,10,128,4,32,0.491801,19,True,0.014251804622573241,True,0.500634197706446
62,8,32,False,1,1,1,128,8,1,inf,512,32,DLMT,True,True,26,True,512,False,25,1,1024,1,1,256,16,8,inf,2,False,inf,False,inf
63,16,64,False,16,8,1,32,1,5,1.4523418765475782,1,1,DLMT,False,False,1,False,2,True,25,1,64,32,10,512,8,16,1.453902,19,False,0.0025171603047879185,True,1.4554621234524219
64,16,256,False,32,4,64,256,1024,23,1.1691250061482474,128,1,DLMT,True,False,1,False,512,True,1,30,2048,32,10,2048,16,4,1.1714650000000002,1,False,0.0037754317633881323,True,1.173804993851753
65,4,1024,False,32,2048,8,64,1,1,1.2659213776354998,2048,1024,DLMT,True,False,28,False,2048,True,4,1,1,32,10,1,16,16,1.267873,2,False,0.0031488189849529246,True,1.2698246223645002
66,8,2048,False,4,2,2,128,512,8,1.7302245873280162,1,8,DLMT,False,True,1,True,32,True,1,1,32,32,10,256,1,1,1.7431949999999996,15,True,0.020926938739337878,True,1.756165412671983
67,8,1024,False,1,128,2,1,1,1,0.9834306324358009,64,8,DLMT,False,False,25,False,64,True,1,8,256,16,10,8,2,1,0.9904566000000001,1,False,0.011335953336177759,True,0.9974825675641994
