id,RT1_K,RT1_J,T1_Ja,RT1_I,T2_K,T2_J,T2_I,T2_Ja,U2_I,T1_I,T1_J,T1_K,technique,speedup,RT2_J,VEC2,VEC1,SCR,T1_Ia,T1_Ka,OMP1,U1_K,U1_J,U1_I,T2_Ka,RT2_I,T2_Ia,U2_J,U2_K,cost_mean,RT2_K,OMP2,points
1,1,1,1,1,512,256,512,256,11,1,128,256,RS,0.8706862148713113,1,True,True,True,1,1,True,7,1,14,1,8,1,19,1,0.05964508285714284,1,True,300
1,1,1,2048,1,16,128,1,512,19,16,512,1,RS,1.0019160556810893,1,True,False,True,2048,256,False,1,30,28,256,1,512,15,1,0.05275122571428572,1,False,300
1,1,32,256,1,1,1,32,1024,13,32,128,32,RS,1.371316892245872,8,True,False,False,1,2048,True,29,1,6,1024,1,1,28,1,0.03835037714285714,8,True,300
1,1,32,64,1,128,16,64,64,24,512,16,1,RS,0.9069413472210531,1,True,True,True,1,256,False,2,12,1,1024,8,1024,9,1,0.058484282857142855,1,False,300
1,1,32,128,1,1,16,32,1024,13,128,16,128,RS,0.6628923700801511,1,False,True,False,1024,1024,False,18,13,1,2048,1,512,21,1,0.07816682,32,True,300
1,1,1,1024,1,16,16,256,1024,13,32,256,512,RS,0.7764067950779113,1,True,True,False,128,512,False,5,1,26,512,8,256,1,25,0.06679254857142858,8,False,300
1,1,1,1024,1,128,512,1,1024,16,32,512,512,RS,0.7695454914131742,8,False,False,True,1,512,True,27,1,20,2048,1,1,1,30,0.06685889714285714,1,True,300
1,1,1,1024,1,32,16,32,1024,1,16,128,256,RS,0.7952288077037907,1,False,False,True,64,256,False,1,21,30,2048,32,256,26,17,0.06592553999999998,1,False,300
2,1,32,256,1,64,1,16,128,24,1,16,1,RS,0.7623204481947671,1,True,False,True,2048,1,True,17,5,1,256,8,1024,2,1,0.06776237714285713,1,True,300
1,1,8,64,1,1,32,16,2048,18,1,64,1,RS,1.0865998074203378,8,True,False,True,1,512,True,18,1,30,128,1,1,1,7,0.04821158857142857,1,True,300
