id,RT1_K,RT1_J,T1_Ja,RT1_I,T2_K,T2_J,T2_I,T2_Ja,U2_I,mean_confidence_interval_inf,T1_I,T1_J,T1_K,technique,RT2_J,VEC2,VEC1,SCR,T1_Ia,T1_Ka,OMP1,U1_K,U1_J,U1_I,T2_Ka,RT2_I,runs,T2_Ia,U2_J,U2_K,cost_mean,RT2_K,OMP2,cost_std,correct_result,mean_confidence_interval_sup
1,1,1,1,32,32,1,64,128,24,0.22503861325961635,64,512,32,RS,8,True,True,True,256,256,True,15,1,23,2048,1,35,1,3,1,0.22810948571428571,8,False,0.00926931647155258,True,0.23118035816895507
2,1,32,256,1,32,32,32,1024,21,0.14339124703361006,32,32,16,RS,1,False,False,True,1,128,True,2,23,1,256,1,35,2048,1,29,0.1466212857142857,1,False,0.00974975391798298,True,0.14985132439496135
3,1,1,2048,1,512,64,512,1024,20,0.10665637805861992,32,16,512,RS,1,True,False,False,512,1024,False,2,1,15,2048,1,35,2048,29,1,0.11048780000000001,8,True,0.01156500735050103,True,0.1143192219413801
4,32,1,256,1,512,512,512,1,1,0.168289211169272,128,256,32,RS,1,True,True,True,128,128,False,1,26,5,512,1,35,512,12,15,0.16894411428571426,32,True,0.0019768011645286024,True,0.16959901740215652
5,1,1,64,1,512,256,16,512,9,0.1434867316446657,256,1,512,RS,1,False,True,False,1024,1,True,29,1,28,2048,1,35,2048,1,25,0.1442658857142857,1,True,0.0023518481337198673,True,0.1450450397839057
6,1,32,512,1,1,128,1,1,18,0.10186507905473076,256,16,32,RS,1,False,False,True,512,128,True,20,9,1,256,1,35,256,1,13,0.10392537142857143,8,False,0.00621891736598083,True,0.1059856638024121
7,1,8,1024,1,1,64,1,128,1,inf,512,512,64,RS,1,True,True,True,512,2048,False,17,1,5,64,1,1,128,24,17,inf,32,True,inf,False,inf
8,1,1,2048,8,16,1,64,512,1,0.21185626628321308,16,32,128,RS,1,True,False,False,1024,1,True,28,16,1,1,1,35,64,1,17,0.21309022857142854,8,False,0.003724670149044565,True,0.214324190859644
9,1,8,1024,1,64,32,64,512,24,0.12355249077965186,32,512,16,RS,1,False,False,True,2048,256,True,25,1,4,64,1,35,2048,19,1,0.12714094285714286,8,True,0.010831611680481103,True,0.13072939493463387
10,1,32,2048,1,16,16,16,512,2,0.15491625426729388,512,128,128,RS,1,False,True,False,1024,512,False,27,1,6,2048,8,35,1024,1,11,0.15569771428571427,1,True,0.002358808556047235,True,0.15647917430413466
11,1,8,512,8,32,128,256,512,7,0.2052965725656035,256,256,16,RS,1,False,True,False,256,1,False,5,1,26,1024,8,35,256,1,14,0.20537579999999997,8,False,0.00023914512031698922,True,0.20545502743439645
12,1,8,512,8,64,256,256,1,30,0.1768666085394614,32,128,512,RS,1,False,True,False,1024,1,True,27,28,1,512,32,35,1024,5,1,0.17844645714285715,1,False,0.004768715372645563,True,0.1800263057462529
13,32,1,64,1,64,64,64,2048,9,0.15793444154382932,128,64,16,RS,1,True,True,True,256,256,False,1,16,11,512,32,35,64,1,24,0.1607086,1,True,0.008373696091929776,True,0.1634827584561707
14,1,1,512,1,32,1,256,1024,7,0.16434297771266201,256,128,16,RS,8,False,True,False,1024,1024,False,30,1,1,256,1,35,2048,16,1,0.16439120000000002,1,False,0.00014555721506384804,True,0.16443942228733802
15,32,1,1024,1,32,512,16,512,26,0.16936598717571932,128,256,64,RS,1,False,True,False,512,256,True,22,1,12,64,8,35,2048,1,10,0.17640399999999998,1,True,0.021243984946332457,True,0.18344201282428063
16,1,8,1024,1,256,32,512,1,14,0.17512832040321955,128,16,16,RS,8,True,True,True,128,2048,False,25,19,1,512,1,35,2048,1,12,0.17514737142857145,8,False,5.750482499720451e-05,True,0.17516642245392336
