id,RT1_K,RT1_J,T1_Ja,baseline,RT1_I,T2_K,T2_J,T2_I,T2_Ja,U2_I,mean_confidence_interval_inf,T1_I,T1_J,T1_K,technique,RT2_J,VEC2,VEC1,SCR,T1_Ia,T1_Ka,OMP1,U1_K,U1_J,U1_I,T2_Ka,RT2_I,runs,T2_Ia,U2_J,U2_K,cost_mean,RT2_K,OMP2,cost_std,correct_result,mean_confidence_interval_sup
1,1,32,2048,False,1,1,1,128,512,16,0.2241099255648428,16,512,32,DLMT,32,False,True,False,128,256,True,4,4,1,128,1,35,256,14,1,0.22532660000000002,1,False,0.003672487395291023,True,0.22654327443515723
2,1,1,1,False,1,1,1,64,256,13,0.17283946905757758,1,64,128,DLMT,1,False,True,False,256,2048,False,19,20,1,256,1,35,1,17,1,0.1728688857142857,32,False,8.879310508256837e-05,True,0.17289830237099385
3,8,8,1,False,1,1,32,128,512,21,0.18943881749260602,512,512,512,DLMT,1,False,True,False,1,2048,False,1,28,11,512,8,35,512,1,3,0.1901478285714286,8,True,0.0021401240749840938,True,0.19085683965025116
4,8,1,128,False,1,512,32,512,2048,1,0.13655903945803172,32,128,64,DLMT,1,False,False,True,64,1,True,1,14,7,1024,1,35,1024,8,13,0.1376528285714286,1,False,0.0033015625347117433,True,0.1387466176848255
5,1,32,1024,False,1,16,1,16,256,28,0.13022213682424943,1,256,16,DLMT,1,False,True,False,128,256,False,6,1,7,128,8,35,1,7,1,0.1302401142857143,8,False,5.426431157034917e-05,True,0.13025809174717917
6,1,1,128,False,1,64,64,1,1024,1,0.10016589874766066,16,32,16,DLMT,1,True,True,False,64,128,True,6,5,1,64,1,35,256,2,14,0.10315531428571427,32,True,0.00902344174049357,True,0.10614472982376788
7,8,1,512,False,8,256,1,64,1,1,0.13346206749825199,64,512,512,DLMT,32,False,False,True,256,512,False,1,19,9,2048,1,35,1,7,17,0.13349037142857145,1,False,8.543438107335704e-05,True,0.13351867535889092
8,1,1,64,False,8,64,16,128,256,26,0.11898022021938606,32,16,1,DLMT,1,True,True,False,1024,64,False,7,3,1,2048,32,35,256,24,1,0.1190642,1,False,0.0002534899039973207,True,0.11914817978061393
9,1,1,1024,False,1,128,256,16,512,22,0.18999559916659875,128,128,128,DLMT,8,True,False,False,2048,1024,False,1,30,17,1,1,35,1024,16,1,0.190076,1,False,0.000242686982404435,True,0.19015640083340124
10,8,1,128,False,8,32,512,256,2048,1,0.24698089697491757,64,1,128,DLMT,1,False,False,True,2048,2048,True,23,15,1,2048,8,35,256,24,26,0.2513253142857143,8,True,0.013113465157771289,True,0.255669731596511
11,1,8,64,False,1,256,512,256,512,30,0.1684894774654523,1,1,64,DLMT,1,True,True,False,2048,1024,True,1,12,27,256,1,35,1,1,25,0.1720189428571429,32,False,0.010653562521369776,True,0.1755484082488335
12,1,32,2048,False,1,128,512,512,512,1,0.15295937583526886,16,64,512,DLMT,1,False,False,True,128,1,False,1,25,11,1024,8,35,2048,29,13,0.15554479999999998,1,True,0.007804008518703706,True,0.1581302241647311
13,1,1,1024,False,8,1,1,512,128,23,0.14307253289505953,1,256,512,DLMT,1,True,False,False,256,1024,False,12,12,1,128,1,35,2048,7,1,0.14310585714285715,8,False,0.00010058802622781688,True,0.14313918139065476
14,1,1,2048,False,1,16,1,256,2048,9,0.19707949466032104,32,32,512,DLMT,8,True,True,True,512,1,True,1,28,10,1,8,35,2048,1,17,0.19831657142857143,1,True,0.0037340710934062643,True,0.1995536481968218
15,1,1,2048,False,1,512,256,32,2048,8,0.09387802952893673,16,64,512,DLMT,1,True,False,False,1,1,False,17,1,30,512,1,35,512,1,21,0.09388980571428573,32,False,3.554598585219095e-05,True,0.09390158189963474
16,1,8,64,False,8,1,64,16,512,1,0.12534218364347266,1,1,128,DLMT,1,True,False,True,1,2048,True,1,15,8,128,8,35,1,1,19,0.1266946,1,False,0.00408221943275259,True,0.12804701635652732
17,1,1,2048,False,8,128,512,32,1024,12,0.15379925787792822,64,64,64,DLMT,1,True,False,False,64,64,False,1,24,6,512,32,35,64,1,20,0.15593374285714284,1,True,0.006442865038576094,True,0.15806822783635746
18,32,1,1024,False,1,1,256,256,256,1,0.23917167972198133,1,1,64,DLMT,8,False,True,True,2048,2048,True,27,3,1,512,1,35,1,4,26,0.24431082857142858,1,True,0.01551233331345595,True,0.24944997742087582
19,1,8,2048,False,8,32,1,16,1,1,0.18161040332930356,16,512,128,DLMT,1,True,True,True,1024,2048,True,28,1,1,256,1,35,128,22,11,0.18305551428571432,1,True,0.004362014700777145,True,0.18450062524212507
20,8,1,1,False,1,512,512,32,1024,1,0.13618553529802335,1,1,16,DLMT,32,False,True,False,64,2048,False,30,1,3,2048,1,35,256,2,7,0.13727297142857142,1,True,0.0032823862877548126,True,0.1383604075591195
21,8,8,1,False,1,64,512,512,512,1,0.18360178471683253,256,512,16,DLMT,1,True,False,False,2048,1024,True,30,22,1,64,1,35,1024,5,2,0.18418174285714287,1,False,0.0017505824882487744,True,0.1847617009974532
22,1,32,512,False,1,1,256,256,2048,1,0.13059241443685543,128,128,1,DLMT,1,True,False,True,512,128,True,3,1,1,128,8,35,2048,9,1,0.13942525714285717,1,True,0.02666161346456507,True,0.1482580998488589
23,32,1,1,False,1,32,16,64,2048,21,0.24938959423411364,16,32,1,DLMT,1,True,True,True,256,2048,True,29,6,1,512,1,35,2048,30,1,0.2505792285714285,8,False,0.0035908678464421687,True,0.25176886290874334
24,1,32,64,False,1,128,64,16,256,1,0.20673594480489565,128,1,16,DLMT,1,False,True,False,2048,512,True,1,6,29,1,8,35,512,20,22,0.20815411428571426,1,False,0.004280692839592532,True,0.20957228376653286
25,8,1,256,False,8,64,512,16,1,21,0.15943174472379085,512,16,64,DLMT,8,True,True,False,512,64,False,13,1,20,64,8,35,2048,17,1,0.15951045714285714,1,False,0.00023759056533181988,True,0.15958916956192343
26,1,32,512,False,1,64,32,512,1024,1,0.21842118099182847,1,1,128,DLMT,1,False,False,True,512,512,False,21,15,1,1024,8,35,2048,28,12,0.2195423142857143,1,True,0.003384099945935644,True,0.22066344757960013
27,1,32,512,False,1,128,256,128,256,19,0.271568019028512,64,512,16,DLMT,8,True,False,True,128,128,True,1,30,27,512,1,35,1024,1,30,0.27446874285714284,8,True,0.008755729051289324,True,0.27736946668577367
28,1,1,1,False,1,1,64,16,512,30,0.1638439655097242,64,256,512,DLMT,8,True,True,True,512,1,False,27,12,1,128,1,35,512,1,30,0.16387631428571428,1,False,9.764360016438018e-05,True,0.16390866306170437
29,1,32,1,False,1,32,32,16,1024,20,0.1875895255902189,1,128,256,DLMT,32,True,True,True,1024,256,False,26,1,12,1,1,35,512,3,1,0.18820894285714285,1,True,0.001869688422367398,True,0.18882836012406679
30,1,1,64,False,1,32,1,16,256,1,0.19043977075162366,512,64,1,DLMT,8,True,True,True,1,64,False,1,16,30,256,8,35,512,30,3,0.19118680000000002,1,True,0.0022548805327872357,True,0.19193382924837638
31,1,1,2048,False,32,64,16,128,128,26,0.23140370825665396,128,256,1,DLMT,8,False,True,True,256,512,False,1,28,20,64,8,35,1,4,1,0.23189551428571425,1,True,0.0014844985564430946,True,0.23238732031477455
32,1,8,512,False,8,256,32,16,256,1,0.14623813809679784,512,128,256,DLMT,1,True,True,True,2048,512,False,30,1,30,256,1,35,256,1,1,0.14625591428571427,32,False,5.365677772582233e-05,True,0.1462736904746307
33,32,1,2048,False,1,128,128,128,1,12,0.1722332680268114,512,64,128,DLMT,32,True,True,False,1,128,False,1,17,10,2048,1,35,256,20,1,0.17327737142857141,1,True,0.003151588026790976,True,0.17432147483033142
34,1,32,2048,False,1,128,256,1,2048,30,0.24198377126185303,256,64,512,DLMT,1,False,True,True,256,512,False,19,28,1,128,1,35,2048,1,19,0.24202040000000002,1,False,0.00011056250979164956,True,0.24205702873814702
35,1,8,2048,False,1,256,16,16,2048,15,0.08082805341152323,64,64,256,DLMT,1,True,True,False,64,256,False,24,1,29,2048,1,35,1,1,17,0.08084772571428571,8,False,5.9380128195295935e-05,True,0.08086739801704819
36,32,1,1,False,1,64,512,64,1,1,0.1205157700151663,128,1,64,DLMT,1,False,False,False,512,1,False,18,1,17,256,1,35,128,8,2,0.12053762857142858,8,False,6.597925462458869e-05,True,0.12055948712769085
37,1,1,128,False,8,64,1,32,512,7,0.18676332519760255,512,16,16,DLMT,1,False,False,True,512,2048,True,16,1,15,2048,1,35,1,1,19,0.18829631428571428,1,False,0.004627271635309384,True,0.189829303373826
38,32,1,2048,False,1,1,512,256,1,1,inf,1,512,32,DLMT,8,True,False,False,512,1024,False,25,20,1,64,1,1,1024,29,16,inf,1,True,inf,False,inf
39,1,32,2048,False,1,128,256,512,1,1,0.13600927253305037,16,1,1,DLMT,1,True,False,False,1,128,True,27,1,22,1,32,35,1,7,30,0.14133494285714288,1,True,0.016075341579917378,True,0.14666061318123538
40,1,1,1024,False,1,1,32,16,1,29,0.13566387055298113,32,512,1,DLMT,32,False,False,True,1024,2048,False,2,20,1,512,1,35,1,28,1,0.13571045714285715,1,False,0.00014061992194913298,True,0.13575704373273317
41,32,1,1,False,1,256,128,256,512,22,0.15694708645163044,512,128,16,DLMT,32,False,True,False,1024,1,False,30,1,5,1024,1,35,1,1,12,0.15844254285714282,1,True,0.004513980602166418,True,0.1599379992626552
42,1,32,1,False,1,16,16,16,256,1,0.1483303877701026,64,128,32,DLMT,1,False,True,False,256,64,True,24,1,23,128,32,35,1024,10,24,0.14965045714285716,1,True,0.00398458124233083,True,0.1509705265156117
43,1,1,2048,False,1,64,256,1,1024,24,0.15884687359851982,256,128,1,DLMT,1,False,True,True,256,64,False,1,24,5,1024,1,35,512,1,18,0.1626488857142857,32,True,0.011476234864826228,True,0.1664508978300516
44,8,1,1024,False,1,1,256,64,2048,29,0.11759511597296426,32,128,1,DLMT,8,True,True,False,1024,512,True,1,16,15,1,1,35,2048,1,20,0.11843774285714286,1,False,0.0025434385088229003,True,0.11928036974132145
45,1,1,512,False,8,1,32,1,1,1,0.10083114067895836,128,1,1,DLMT,8,False,True,False,1024,512,False,1,2,3,256,1,35,1,6,23,0.10410580000000001,1,True,0.009884439693058696,True,0.10738045932104166
46,1,8,256,False,8,32,128,512,512,21,0.16944806881663527,16,16,16,DLMT,1,False,False,True,512,64,True,25,1,18,512,8,35,2048,14,1,0.17028191428571432,8,False,0.002516932127712268,True,0.17111575975479337
47,1,1,2048,False,32,16,128,16,512,1,0.23476510118361063,64,512,256,DLMT,1,False,True,False,64,512,True,25,11,1,512,1,35,64,16,23,0.2371654857142857,32,False,0.007245473133999616,True,0.23956587024496076
