id,RT1_K,RT1_J,T1_Ja,baseline,RT1_I,T2_K,T2_J,T2_I,T2_Ja,U2_I,mean_confidence_interval_inf,T1_I,T1_J,T1_K,technique,RT2_J,VEC2,VEC1,SCR,T1_Ia,T1_Ka,OMP1,U1_K,U1_J,U1_I,T2_Ka,RT2_I,runs,T2_Ia,U2_J,U2_K,cost_mean,RT2_K,OMP2,cost_std,correct_result,mean_confidence_interval_sup
1,8,1,512,False,8,512,512,64,512,1,0.18561401840066816,1,32,64,DLMT,1,True,True,False,64,512,False,4,10,1,1,32,35,2048,16,14,0.18667705714285715,1,True,0.003208743661068765,True,0.18774009588504614
2,1,8,1,False,8,64,128,32,2048,7,0.2178255865624208,16,128,32,DLMT,8,True,True,True,256,2048,True,23,26,1,2048,8,35,64,1,26,0.22000062857142857,1,True,0.006565284953388059,True,0.22217567058043636
3,8,1,256,False,8,1,32,128,128,1,0.23495755562221174,256,32,32,DLMT,8,False,True,True,1024,1,True,27,1,5,1,1,35,256,28,28,0.23691722857142855,8,False,0.005915201303594051,True,0.23887690152064536
4,8,1,1,False,1,32,64,1,128,1,0.10066210386278183,1,16,1,DLMT,1,False,True,True,1024,1,False,1,11,14,1024,8,35,128,18,2,0.10234674285714286,1,True,0.005085021344766872,True,0.10403138185150389
5,1,1,1,False,1,1,64,16,1,29,0.12359973086513408,256,1,512,DLMT,1,True,True,True,1,1024,True,15,1,20,1,32,35,512,1,3,0.12438297142857141,1,False,0.0023641830662222943,True,0.12516621199200875
6,1,8,2048,False,1,1,1,512,2048,1,0.14511308887259958,512,16,512,DLMT,8,False,True,False,512,1,True,30,1,30,64,8,35,512,22,18,0.14645682857142855,1,False,0.004056029258035599,True,0.14780056827025753
7,1,1,1,False,32,16,16,128,64,2,0.16380860264274635,512,1,16,DLMT,1,True,True,True,512,256,False,1,28,9,2048,1,35,2048,4,1,0.16386071428571428,32,False,0.0001572970931397142,True,0.1639128259286822
8,1,32,2048,False,1,64,16,256,64,2,0.23151033893798556,512,128,32,DLMT,1,False,True,False,1024,64,True,1,6,27,512,32,35,1,1,27,0.23409819999999998,1,False,0.00781136420424938,True,0.2366860610620144
9,8,8,128,False,1,1,512,1,512,20,0.09659996555845192,1,16,512,DLMT,32,True,False,False,1,1024,True,1,7,29,512,1,35,64,28,1,0.09791076857142858,1,True,0.0039566110734004555,True,0.09922157158440524
10,1,1,2048,False,32,32,1,128,512,1,0.1998802198035368,1,256,1,DLMT,8,False,False,False,128,2048,True,1,29,1,2048,1,35,256,19,6,0.2016156,8,True,0.005238181812150365,True,0.20335098019646322
