id,RT1_K,RT1_J,T1_Ja,baseline,RT1_I,T2_K,T2_J,T2_I,T2_Ja,U2_I,mean_confidence_interval_inf,T1_I,T1_J,T1_K,technique,RT2_J,VEC2,VEC1,SCR,T1_Ia,T1_Ka,OMP1,U1_K,U1_J,U1_I,T2_Ka,RT2_I,runs,T2_Ia,U2_J,U2_K,cost_mean,RT2_K,OMP2,cost_std,correct_result,mean_confidence_interval_sup
1,32,1,1,False,1,64,1,512,512,1,0.10840518007729633,128,1,1,DLMT,1,False,True,True,1024,1024,False,1,2,23,256,1,35,2048,29,30,0.11100114285714285,8,True,0.007835818943955313,True,0.11359710563698938
2,1,1,256,False,32,512,256,1,1,1,0.21193780172805304,32,1,128,DLMT,1,False,False,False,1,1024,True,1,16,21,2048,32,35,2048,30,21,0.21311742857142857,1,True,0.0035606605910838995,True,0.2142970554148041
3,1,8,2048,False,1,512,128,256,512,24,0.14994508311466037,64,128,1,DLMT,8,True,False,True,2048,2048,True,18,1,30,1024,8,35,256,1,16,0.15141434285714286,1,True,0.004434906930528416,True,0.15288360259962536
4,1,8,1,False,8,512,64,1,1,21,0.1547468292121175,16,1,16,DLMT,1,True,False,True,2048,512,True,11,1,18,1,1,35,64,1,25,0.1578414285714286,1,False,0.00934093526759871,True,0.16093602793073972
5,1,1,64,False,1,64,16,128,2048,28,0.13252528145454523,128,32,128,DLMT,1,False,False,False,128,2048,True,19,4,1,2048,1,35,128,1,1,0.13378162857142856,8,True,0.0037922379377257616,True,0.13503797568831188
6,1,8,2048,False,8,32,32,128,128,25,0.1498609812915049,256,512,64,DLMT,1,False,False,True,512,1,False,7,1,1,64,8,35,1,10,1,0.14989594285714286,8,False,0.00010553021039551943,True,0.14993090442278081
7,32,1,1024,False,1,16,512,1,1,22,0.11617666523515738,1,256,1,DLMT,1,False,False,False,2048,2048,True,12,1,9,2048,1,35,2048,1,24,0.1170052,32,False,0.0025009019607219445,True,0.11783373476484263
8,8,8,1024,False,1,1,16,1,2048,9,0.15625705566948606,1,32,16,DLMT,1,False,False,False,2048,512,True,15,1,5,64,1,35,1,29,1,0.15791037142857142,8,False,0.004990473301834861,True,0.1595636871876568
9,8,8,1,False,1,1,64,256,256,11,0.22460957216134023,64,512,128,DLMT,1,False,True,True,512,2048,False,27,27,1,2048,8,35,512,1,15,0.22625177142857142,1,True,0.004956918576729556,True,0.2278939706958026
10,1,1,1,False,32,16,256,512,1,29,0.1999592239212244,1,64,512,DLMT,1,True,True,True,512,512,True,1,8,16,2048,1,35,512,27,1,0.2023620857142857,8,True,0.007252950660136008,True,0.20476494750734703
11,1,8,1,False,8,64,1,64,2048,1,0.20253406081774675,1,32,512,DLMT,8,False,False,True,256,2048,False,1,11,21,128,8,35,512,26,9,0.20268291428571428,1,False,0.000449308762524872,True,0.2028317677536818
12,8,8,64,False,1,256,512,256,1,6,0.09405847705247225,16,1,16,DLMT,1,True,False,True,64,64,False,1,29,10,1024,8,35,1,4,1,0.0940733914285714,1,False,4.501850014274223e-05,True,0.09408830580467056
13,1,8,2048,False,8,64,1,1,256,1,0.2036121785614566,256,16,32,DLMT,1,False,True,False,1024,256,False,1,30,6,1024,8,35,1,29,22,0.20405794285714285,8,False,0.0013455232639674227,True,0.2045037071528291
14,8,1,2048,False,8,16,256,16,512,3,0.1343467326708551,256,1,32,DLMT,32,False,True,True,256,128,True,3,2,1,512,1,35,2048,2,1,0.13654137142857142,1,False,0.006624437024427983,True,0.13873601018628776
15,1,1,64,False,1,32,32,1,128,1,0.1947230818700862,256,32,16,DLMT,8,True,False,True,2048,1,False,15,11,1,256,8,35,2048,1,3,0.1958735142857143,1,True,0.003472538276011851,True,0.19702394670134243
16,32,1,1024,False,1,512,64,1,2048,1,0.15263791751985967,256,1,256,DLMT,1,False,True,True,512,2048,False,1,19,1,2048,8,35,64,14,26,0.15389534285714287,8,True,0.0037954925066667282,True,0.15515276819442608
17,1,1,2048,False,32,256,1,1,1,11,0.2547456591055071,256,512,512,DLMT,1,False,True,True,2048,1,True,24,28,1,256,1,35,64,22,1,0.25604951428571426,1,True,0.003935639293659409,True,0.2573533694659214
18,1,32,128,False,1,512,32,512,128,21,0.26952172057535684,128,1,32,DLMT,1,True,False,False,1024,64,False,1,23,16,1024,8,35,2048,23,1,0.27032634285714285,8,True,0.0024287230030009825,True,0.27113096513892887
19,1,32,512,False,1,128,64,256,128,30,0.1603495592733757,128,512,512,DLMT,1,False,True,True,2048,2048,False,15,3,1,2048,1,35,1024,2,1,0.1604062,32,False,0.0001709679669244671,True,0.16046284072662428
20,1,1,2048,False,1,1,64,16,64,19,0.14633840618816613,512,32,1,DLMT,1,True,True,False,1,1024,True,1,27,16,128,1,35,256,1,1,0.1520926,32,True,0.017368824094089633,True,0.15784679381183386
21,1,8,64,False,1,512,128,1,1,1,0.16432705322729485,1,32,1,DLMT,1,False,True,True,256,256,True,2,1,20,1,8,35,512,22,12,0.16560794285714286,8,False,0.0038663186177393047,True,0.16688883248699088
22,8,8,2048,False,1,256,512,64,1024,23,0.1981821973440358,1,32,128,DLMT,1,True,True,False,1,1,False,21,24,1,1,32,35,2048,1,1,0.20013840000000002,1,True,0.005904726350015845,True,0.20209460265596424
23,8,1,2048,False,8,128,128,1,128,1,0.11016684916900217,256,64,32,DLMT,1,True,False,False,1,512,False,1,25,10,1,8,35,2048,7,30,0.11018551428571428,1,False,5.6339973846826466e-05,True,0.1102041794024264
