id,RT1_K,RT1_J,T1_Ja,baseline,RT1_I,T2_K,T2_J,T2_I,T2_Ja,U2_I,mean_confidence_interval_inf,T1_I,T1_J,T1_K,technique,RT2_J,VEC2,VEC1,SCR,T1_Ia,T1_Ka,OMP1,U1_K,U1_J,U1_I,T2_Ka,RT2_I,runs,T2_Ia,U2_J,U2_K,cost_mean,RT2_K,OMP2,cost_std,correct_result,mean_confidence_interval_sup
1,1,32,512,False,1,16,512,128,1,1,0.3056972400963666,32,128,64,DLMT,8,False,True,True,1,2048,True,1,26,4,1,8,35,512,22,19,0.3088812285714286,1,False,0.009610753052361164,True,0.31206521704649054
2,1,32,256,False,1,16,128,256,128,3,0.15194170142508676,128,256,1,DLMT,1,True,True,False,512,128,True,13,1,7,2048,1,35,2048,1,9,0.15369254285714284,1,False,0.005284850987724155,True,0.15544338428919893
3,1,1,2048,False,32,256,128,32,512,21,0.19649826560897127,1,256,256,DLMT,8,False,True,True,1,1,True,17,3,1,2048,1,35,2048,1,23,0.19812674285714285,1,True,0.004915499162810614,True,0.19975522010531443
4,1,8,1,False,8,512,1,64,64,1,inf,512,512,256,DLMT,1,True,True,True,2048,2048,False,1,24,30,2048,1,1,2048,25,18,inf,32,False,inf,False,inf
5,1,8,1,False,1,512,512,1,512,1,0.1020885957152174,32,512,16,DLMT,1,False,False,False,256,256,True,12,1,21,1,1,35,128,15,12,0.10405899999999998,8,True,0.0059475934484942245,True,0.10602940428478257
6,1,1,1024,False,1,16,512,128,1,6,0.17230697574455403,64,1,32,DLMT,8,False,True,True,2048,1,True,11,9,1,128,1,35,128,28,1,0.17390111428571425,8,True,0.00481184902845601,True,0.17549525282687448
7,1,8,128,False,8,16,128,64,1,29,0.18812758893314888,256,1,1,DLMT,32,True,True,True,1,128,True,13,14,1,256,1,35,128,1,7,0.18903125714285715,1,True,0.002727689522998822,True,0.18993492535256543
8,1,1,128,False,8,1,32,128,256,3,0.1695829579977154,512,32,512,DLMT,1,False,False,True,1024,1024,False,13,28,1,256,32,35,1,28,1,0.17010388571428572,1,True,0.0015724013077624487,True,0.17062481343085606
9,1,8,512,False,8,1,512,32,2048,13,0.1869159513970564,32,64,16,DLMT,32,False,True,True,2048,2048,True,28,1,27,1,1,35,2048,1,17,0.18790937142857142,1,False,0.0029986021227585754,True,0.18890279146008643
10,8,1,1,False,8,256,64,1,2048,14,0.22498684179757336,1,512,512,DLMT,1,True,False,False,128,512,True,29,15,1,2048,1,35,256,27,1,0.22585899999999998,8,True,0.002632577715580571,True,0.2267311582024266
11,8,8,512,False,1,1,1,64,2048,17,0.12155008658883242,128,512,32,DLMT,1,False,False,True,256,1024,False,1,9,16,2048,8,35,512,21,1,0.12165891428571428,1,False,0.0003284924327398538,True,0.12176774198259614
12,8,1,128,False,8,1,64,512,2048,1,0.11871345169061621,1,16,1,DLMT,1,False,True,True,2048,2048,True,21,1,19,1,8,35,1,25,13,0.11942022857142856,1,False,0.0021333802297991704,True,0.1201270054522409
