id,RT1_K,RT1_J,T1_Ja,baseline,RT1_I,T2_K,T2_J,T2_I,T2_Ja,U2_I,mean_confidence_interval_inf,T1_I,T1_J,T1_K,technique,RT2_J,VEC2,VEC1,SCR,T1_Ia,T1_Ka,OMP1,U1_K,U1_J,U1_I,T2_Ka,RT2_I,runs,T2_Ia,U2_J,U2_K,cost_mean,RT2_K,OMP2,cost_std,correct_result,mean_confidence_interval_sup
1,8,8,64,False,1,1,256,128,256,26,0.166546755396629,128,1,64,DLMT,1,True,True,True,512,1,False,10,14,1,64,8,35,128,10,1,0.16760325714285712,1,True,0.003189011977246306,True,0.16865975888908524
2,1,32,256,False,1,32,32,32,2048,1,0.4545169257914924,64,64,512,DLMT,8,False,False,False,2048,1,True,15,27,1,64,8,35,1,19,15,0.4581966,1,True,0.01110696235495042,True,0.46187627420850763
3,1,32,1024,False,1,1,1,64,1024,6,0.09114669483593198,1,16,32,DLMT,1,True,True,False,2048,128,True,28,1,20,512,8,35,64,1,29,0.09356568857142857,1,True,0.00730164433984453,True,0.09598468230692515
4,1,32,2048,False,1,1,32,16,1,1,0.11141483577317643,16,64,16,DLMT,32,True,False,True,128,1024,False,28,1,18,512,1,35,64,30,1,0.11268714285714285,1,True,0.0038404125161078167,True,0.11395944994110926
5,8,8,1,False,1,512,32,16,256,29,0.302460799627878,512,512,16,DLMT,1,False,False,False,2048,2048,True,1,23,18,512,32,35,1,16,1,0.30499088571428573,1,True,0.007636972548151815,True,0.3075209718006935
6,1,1,512,False,32,512,16,16,1024,1,0.3340091967355046,512,32,128,DLMT,32,False,False,True,2048,256,False,3,15,1,2048,1,35,1,4,3,0.3355449714285715,1,True,0.0046356798822408144,True,0.33708074612163835
7,32,1,2048,False,1,1,16,64,2048,1,inf,512,256,16,DLMT,1,True,False,True,2048,2048,False,22,12,1,256,1,1,256,27,27,inf,32,True,inf,False,inf
8,1,1,2048,False,8,16,512,64,512,7,0.07398505285114591,32,16,128,DLMT,1,False,False,True,1,256,True,30,30,1,128,1,35,128,29,1,0.07866993142857143,32,False,0.014141135070238403,True,0.08335481000599694
9,1,32,512,False,1,128,512,512,1,1,0.1459794350926877,128,256,128,DLMT,8,True,True,False,2048,512,False,1,1,3,1,1,35,2048,9,1,0.14601094285714286,8,False,9.510503752832934e-05,True,0.146042450621598
10,32,1,64,False,1,128,16,64,2048,10,0.11260130940575361,16,32,256,DLMT,1,True,False,False,1024,2048,True,25,1,28,2048,8,35,128,8,1,0.11399908571428571,8,False,0.004219136793038044,True,0.11539686202281782
11,1,8,512,False,8,1,1,16,1,21,0.19842245798642075,1,32,512,DLMT,1,True,True,False,128,2048,False,1,16,29,128,32,35,1024,1,9,0.20084205714285713,1,True,0.007303471780864055,True,0.20326165629929352
12,32,1,1024,False,1,1,256,1,2048,1,0.12907766072063429,16,16,1,DLMT,1,True,False,False,2048,64,True,1,22,21,64,1,35,1024,26,16,0.130686,1,False,0.0048547134386520245,True,0.1322943392793657
13,32,1,1024,False,1,1,64,512,128,27,inf,16,512,1,DLMT,1,False,True,False,128,128,False,19,22,1,2048,1,1,1,1,16,inf,32,True,inf,False,inf
14,1,32,1024,False,1,64,1,512,2048,1,0.1837919283049091,16,1,1,DLMT,1,False,True,False,128,1,False,1,9,19,512,1,35,2048,20,17,0.1838253142857143,32,False,0.00010077436505908387,True,0.18385870026651951
15,1,1,64,False,8,64,256,1,512,28,0.10679074517760508,16,1,1,DLMT,1,False,False,False,1024,256,False,1,16,5,64,1,35,1,10,1,0.10874071428571429,32,True,0.005885910613230445,True,0.1106906833938235
16,1,1,1,False,1,256,128,32,1,1,inf,32,512,512,DLMT,1,True,True,False,2048,2048,True,29,1,6,1,1,1,128,28,22,inf,32,True,inf,False,inf
17,8,8,64,False,1,256,32,512,256,8,0.13749187675261965,1,32,1,DLMT,1,True,True,False,1,128,True,30,13,1,512,32,35,512,10,1,0.13922642857142856,1,False,0.005235681384422059,True,0.14096098039023747
18,32,1,1,False,1,1,256,512,2048,1,0.09571762866107365,1,1,128,DLMT,1,True,True,True,1024,256,False,4,1,6,128,8,35,1,24,27,0.09573374571428572,1,False,4.864873713149907e-05,True,0.09574986276749779
19,1,8,1,False,1,512,32,1,2048,1,0.22291533278893272,1,1,128,DLMT,8,False,True,True,1,2048,False,2,22,1,1024,1,35,512,26,1,0.2242126857142857,1,True,0.003916012474600214,True,0.2255100386396387
20,1,8,512,False,1,64,512,64,512,10,0.1892922907510159,1,1,1,DLMT,1,True,False,True,128,1,False,1,23,11,2048,1,35,128,1,9,0.18939691428571429,8,False,0.0003158023225671011,True,0.18950153782041268
21,1,8,1024,False,1,256,128,32,512,1,0.18766621650246967,1,128,64,DLMT,8,True,False,True,1,64,False,7,7,1,1024,1,35,512,19,29,0.18905768571428574,8,True,0.004200099051698855,True,0.19044915492610182
22,32,1,1,False,1,512,512,512,1,27,0.12364686763444069,128,128,256,DLMT,1,True,True,True,1,1,False,30,1,14,512,1,35,1,10,1,0.12476808571428567,1,True,0.003384355869260191,True,0.12588930379413066
23,8,1,256,False,8,16,1,512,2048,23,0.1956217661728278,512,32,128,DLMT,1,True,False,True,1,2048,False,27,1,28,128,1,35,1,1,11,0.19566354285714282,32,False,0.0001261013974901912,True,0.19570531954145784
24,1,1,1,False,32,32,16,16,2048,20,0.18835067082384158,64,512,128,DLMT,8,True,True,False,1,128,False,1,20,11,256,1,35,256,2,1,0.19099239999999998,8,True,0.00797396314155371,True,0.19363412917615838
25,8,1,1,False,8,256,16,64,1024,2,0.20289679173168382,1,64,1,DLMT,8,False,False,False,128,1,False,24,1,7,512,8,35,512,1,21,0.20297517142857144,1,False,0.0002365862555740086,True,0.20305355112545906
26,1,1,128,False,8,256,1,1,1,9,0.19339302996607094,16,128,1,DLMT,1,True,True,True,2048,64,True,18,27,1,256,1,35,1024,1,7,0.1951347142857143,32,False,0.005257210577979969,True,0.19687639860535766
27,1,1,2048,False,1,16,256,1,1,12,0.2591037617470281,512,256,512,DLMT,8,True,False,False,512,1,True,25,15,1,256,8,35,64,1,29,0.26004357142857143,1,False,0.0028367812372044336,True,0.26098338111011476
28,1,8,1,False,8,64,64,512,1,12,0.21217884254758718,512,128,32,DLMT,32,False,False,False,1024,128,True,5,22,1,256,1,35,512,29,1,0.21517837142857144,1,True,0.009053968497170455,True,0.2181779003095557
29,32,1,512,False,1,256,1,1,256,1,0.211926785602815,64,256,16,DLMT,8,True,False,False,1,1024,True,1,19,8,2048,8,35,1024,30,5,0.21230045714285717,1,False,0.0011279139111742547,True,0.21267412868289934
30,1,1,256,False,32,128,64,64,128,1,0.21480180413563724,256,32,32,DLMT,1,True,True,False,256,2048,False,3,25,1,1,32,35,2048,14,22,0.21484942857142858,1,False,0.0001437526219814127,True,0.21489705300721992
31,1,1,64,False,32,128,16,1,64,4,0.24957642268888036,512,32,1,DLMT,8,False,True,True,512,2048,True,17,1,15,1,8,35,2048,16,1,0.2525363428571428,1,True,0.008934411042841546,True,0.2554962630254053
32,1,1,256,False,1,1,512,32,512,18,0.14683794737315,1,128,1,DLMT,1,True,True,False,64,1024,False,24,1,30,2048,32,35,2048,13,1,0.1476114,1,True,0.0023346385367210187,True,0.14838485262685
33,1,8,2048,False,1,128,1,1,256,23,0.14412181780603406,512,64,512,DLMT,1,True,True,False,1024,1,True,8,3,1,1,1,35,128,1,19,0.14645642857142857,1,False,0.007046937423086569,True,0.14879103933682308
34,1,8,1,False,8,16,64,64,64,16,0.1895858636051872,1,64,256,DLMT,1,False,False,True,2048,1024,False,1,11,9,1,1,35,1,28,1,0.18974508571428572,8,False,0.0004806061275055878,True,0.18990430782338424
35,1,32,1,False,1,512,128,128,1,21,0.21050674433198527,16,512,512,DLMT,1,True,False,False,64,1,False,1,8,29,1,8,35,1024,1,3,0.21055577142857146,1,False,0.00014798650241815657,True,0.21060479852515765
36,8,1,256,False,1,32,1,1,64,30,0.10006751889102351,1,256,128,DLMT,1,False,False,False,2048,2048,False,22,1,21,256,1,35,2048,1,15,0.10009708857142857,8,False,8.9255001529097e-05,True,0.10012665825183363
37,1,8,256,False,8,1,1,32,1,1,0.13146599240303736,1,1,512,DLMT,1,False,False,True,64,1,True,1,14,14,2048,1,35,512,11,17,0.1326536285714286,32,False,0.0035848364464442584,True,0.13384126473981983
38,1,8,1,False,8,256,1,64,1024,4,0.15251620410665667,64,512,64,DLMT,1,False,False,True,1,1024,False,24,21,1,2048,1,35,2048,1,21,0.15270108571428573,8,False,0.0005580583876993792,True,0.15288596732191478
39,8,1,1,False,8,1,512,256,2048,1,0.16972702558428626,512,32,32,DLMT,1,True,True,False,1,1,True,10,20,1,256,8,35,2048,1,25,0.17782982857142854,1,True,0.024458015206805447,True,0.18593263155857082
40,8,8,256,False,1,64,512,16,2048,30,0.09134557136918026,64,64,16,DLMT,32,True,True,False,1,1024,True,29,1,6,256,1,35,64,1,8,0.09583845428571426,1,True,0.013561603172304263,True,0.10033133720224827
41,8,1,1,False,8,512,32,1,1024,1,0.21082412334551262,1,32,128,DLMT,1,True,True,False,256,1,True,29,7,1,2048,8,35,2048,30,15,0.21302105714285716,8,False,0.006631364517817072,True,0.2152179909402017
