id,RT1_K,RT1_J,T1_Ja,baseline,RT1_I,T2_K,T2_J,T2_I,T2_Ja,U2_I,mean_confidence_interval_inf,T1_I,T1_J,T1_K,technique,RT2_J,VEC2,VEC1,SCR,T1_Ia,T1_Ka,OMP1,U1_K,U1_J,U1_I,T2_Ka,RT2_I,runs,T2_Ia,U2_J,U2_K,cost_mean,RT2_K,OMP2,cost_std,correct_result,mean_confidence_interval_sup
1,1,32,256,False,1,16,128,512,2048,1,0.233510952697996,1,128,64,DLMT,1,False,True,True,1,1,True,5,1,14,64,1,35,1,28,4,0.24080751428571426,1,True,0.022024404956283546,True,0.24810407587343253
2,1,32,1,False,1,1,1,1,512,12,0.1867880356249062,16,64,1,DLMT,1,False,True,False,128,256,False,1,11,7,2048,1,35,2048,1,19,0.18850708571428573,32,True,0.005188889979680093,True,0.19022613580366526
3,1,8,1,False,8,256,16,128,256,23,0.13645302809321946,1,1,32,DLMT,1,False,False,True,1024,2048,True,13,1,7,256,1,35,1024,12,1,0.1426684857142857,32,True,0.018761132074236325,True,0.14888394333535193
4,1,8,128,False,1,512,512,64,1,1,0.12954755681423522,32,128,16,DLMT,8,True,True,False,1,1,False,17,1,25,2048,1,35,2048,24,15,0.1295738857142857,1,False,7.947282426036285e-05,True,0.1296002146143362
5,8,1,1024,False,1,512,1,64,2048,8,0.11961858348073677,16,128,32,DLMT,8,False,True,True,2048,1024,False,1,12,20,2048,1,35,128,11,1,0.11964688571428572,8,False,8.542925943344571e-05,True,0.11967518794783467
6,1,1,2048,False,32,1,32,1,1,1,0.1944343817662252,256,256,32,DLMT,1,True,True,False,1024,2048,True,2,1,15,512,32,35,128,26,1,0.19637837142857142,1,True,0.005867861874339453,True,0.19832236109091764
7,1,1,512,False,32,16,1,512,64,1,0.15288947333230116,16,128,256,DLMT,8,False,True,True,2048,256,False,30,1,30,1,8,35,1,14,8,0.15292091428571428,1,False,9.490337083538602e-05,True,0.1529523552391274
8,1,8,1,False,1,128,16,128,1,14,0.17899571064031194,512,512,64,DLMT,32,False,False,False,1,2048,False,28,14,1,512,1,35,1024,1,18,0.18159200000000003,1,True,0.00783680471329264,True,0.18418828935968812
9,8,1,2048,False,8,32,32,32,128,1,0.15256617435006686,512,1,64,DLMT,1,True,True,False,1024,2048,False,1,29,22,512,32,35,2048,9,16,0.15260168571428576,1,False,0.00010718975735411042,True,0.15263719707850465
10,8,1,512,False,8,512,256,16,2048,1,0.3448294547414773,256,1,256,DLMT,1,True,False,False,2048,256,True,29,1,21,2048,1,35,1,17,25,0.3461737428571428,8,True,0.004057684634248997,True,0.3475180309728083
11,32,1,256,False,1,1,128,1,256,6,0.1891319737472432,1,1,32,DLMT,1,False,False,False,512,2048,False,26,11,1,2048,1,35,2048,3,1,0.19014059999999997,1,True,0.0030445015468170506,True,0.19114922625275674
12,8,8,1024,False,1,32,1,1,2048,1,0.22584839843915205,512,1,1,DLMT,1,False,True,True,2048,2048,True,1,25,26,2048,1,35,1024,26,12,0.2315712285714286,32,False,0.017274153971568892,True,0.23729405870370512
13,1,1,2048,False,1,1,32,16,128,1,0.10863746743088092,128,32,512,DLMT,32,True,True,True,512,1024,True,2,1,18,2048,1,35,2048,6,30,0.10998697142857143,1,False,0.004073428583853545,True,0.11133647542626195
